,gene,Gene_Name,log2fc,t_stat,p_val,p_adj,abs_log2fc
210,ENSMUSG00000001473,Tubb6,1.9239887019136654,20.640561674724257,3.254615177706087e-05,0.031718744771555944,1.9239887019136654
347,ENSMUSG00000002345,Borcs8,-1.0533371799056819,-10.419705172592657,0.000479205474115253,0.10122257229736488,1.0533371799056819
378,ENSMUSG00000002617,Zfp40,-1.0810352043349682,-8.982197004479824,0.0008502772736329671,0.11238443546026057,1.0810352043349682
632,ENSMUSG00000004552,Ctse,-0.852381587187668,-10.984587725463511,0.00039029593755645145,0.09043761332595103,0.852381587187668
642,ENSMUSG00000004626,Stxbp2,1.773847184719936,16.484275530694305,7.930329512291139e-05,0.04085667080198189,1.773847184719936
1024,ENSMUSG00000008435,Rdh13,1.1349939156005886,12.201671033216556,0.00025898401905927014,0.07728061565951887,1.1349939156005886
1234,ENSMUSG00000013622,Atraid,0.7955226767305419,8.077722080772606,0.001276075605734189,0.13685577634865992,0.7955226767305419
1519,ENSMUSG00000017146,Brca1,-0.8863602323054767,-6.761243511408737,0.002495876965856133,0.19382503363889375,0.8863602323054767
1825,ENSMUSG00000019732,Calr3,-0.8489771914376419,-7.24946276472613,0.0019219909182090255,0.16707084018654011,0.8489771914376419
2310,ENSMUSG00000020679,Hnf1b,3.4167565540172484,11.720513309955473,0.0003030935865647684,0.07927747118239188,3.4167565540172484
2378,ENSMUSG00000020799,Tekt1,-2.1207148333324692,-9.189663144233862,0.0007787956431425196,0.11144558406175356,2.1207148333324692
2431,ENSMUSG00000020891,Alox8,2.407987157356363,10.149605462055197,0.0005305898110512728,0.10381980444120859,2.407987157356363
2527,ENSMUSG00000021078,Tomm20l,1.1696749951126861,8.675040783945926,0.0009717168759225561,0.12073867982418912,1.1696749951126861
2532,ENSMUSG00000021091,Serpina3n,-3.122355598257597,-15.048830731709977,0.00011362203831824456,0.04898037378359755,3.122355598257597
2544,ENSMUSG00000021113,Snapc1,-0.9646329040062827,-8.549784146674048,0.0010273666601744009,0.12471876990151648,0.9646329040062827
2842,ENSMUSG00000021747,Cfap20dc,-1.2738428737719596,-7.775757538958875,0.001474856875380961,0.14977597008976942,1.2738428737719596
2848,ENSMUSG00000021758,Ddx4,-2.2210147496970487,-6.889211391745372,0.0023270489057573805,0.18768910949728002,2.2210147496970487
2870,ENSMUSG00000021798,Ldb3,-2.7984345539254316,-14.505265477732852,0.00013134441274776452,0.054399765303353526,2.7984345539254316
2896,ENSMUSG00000021867,,-1.5958976852500384,-9.872505944851302,0.0005906156888265592,0.10381980444120859,1.5958976852500384
3579,ENSMUSG00000023826,Prkn,-1.453213346649231,-7.69384620803499,0.0015352648556719362,0.15369383671259862,1.453213346649231
3651,ENSMUSG00000024026,Glo1,1.103668070761893,15.77027666153169,9.445852070420475e-05,0.04245207091138121,1.103668070761893
3652,ENSMUSG00000024027,Glp1r,6.509235459978348,9.714922136357542,0.0006285257762819645,0.10381980444120859,6.509235459978348
3703,ENSMUSG00000024114,Prss41,3.8101726801078124,9.031094203010127,0.0008327208978743273,0.11238443546026057,3.8101726801078124
4153,ENSMUSG00000025086,Trub1,0.9193440058790694,11.620078964276296,0.00031345200987720055,0.07977164824862779,0.9193440058790694
4493,ENSMUSG00000025911,Adhfe1,1.0022562194484659,9.161659533077607,0.0007879969074167694,0.11144558406175356,1.0022562194484659
4844,ENSMUSG00000026646,Suv39h2,-1.2059469020820295,-10.64669256319392,0.00044072944424786625,0.09697425052966331,1.2059469020820295
5104,ENSMUSG00000027209,Fam227b,-1.1444145722775467,-6.937791380808919,0.002266662372935222,0.18768910949728002,1.1444145722775467
5139,ENSMUSG00000027285,Haus2,0.8210817297283843,17.45273330120214,6.32778096115485e-05,0.03816668827286597,0.8210817297283843
5163,ENSMUSG00000027326,Knl1,-3.4521621215884286,-16.8994298649472,7.187742945026786e-05,0.03995439321784231,3.4521621215884286
5168,ENSMUSG00000027332,Ivd,1.3732645024828416,20.348627816931884,3.443900187323723e-05,0.031718744771555944,1.3732645024828416
5226,ENSMUSG00000027428,Rbbp9,0.7982824802820037,16.75654070754102,7.433134092388162e-05,0.04025899780346542,0.7982824802820037
5307,ENSMUSG00000027606,Dnajc5b,-2.8531565756874433,-32.309123020356694,5.471193283657269e-06,0.015745125867976252,2.8531565756874433
5703,ENSMUSG00000028441,Spmip6,-0.9288606507267315,-8.976139410579849,0.0008524840533888953,0.11238443546026057,0.9288606507267315
