,gene,Gene_Name,log2fc,t_stat,p_val,p_adj,abs_log2fc
17,ENSMUSG00000000154,Slc22a18,0.9155123997891855,3.545853108779607,0.0023091245533901805,0.05666829310788559,0.9155123997891855
28,ENSMUSG00000000244,Tspan32,1.44441319259726,6.769020407693777,2.4260843086168223e-06,0.003990607857356755,1.44441319259726
36,ENSMUSG00000000290,Itgb2,1.7150403568323629,4.355690937448422,0.0003810545263059148,0.01715231407313231,1.7150403568323629
90,ENSMUSG00000000673,Haao,1.7020822873257007,4.918449311336407,0.00011079800247480682,0.008284028617237146,1.7020822873257007
91,ENSMUSG00000000682,Cd52,2.4108493213460367,5.430332702172479,3.693593069580714e-05,0.00483000473842959,2.4108493213460367
96,ENSMUSG00000000732,Icosl,0.9007652595940416,3.8283009107093906,0.0012312366314906498,0.03652073830128504,0.9007652595940416
130,ENSMUSG00000000958,Slc7a7,0.9935315348629069,4.288270432354396,0.0004424562807137086,0.018544278083594747,0.9935315348629069
133,ENSMUSG00000000982,Ccl3,3.93619803175902,4.823974295971955,0.00013609039100790352,0.009354046304359678,3.93619803175902
161,ENSMUSG00000001123,Lgals9,1.1569286649230537,4.795604672988019,0.00014478019325360694,0.0094968271745721,1.1569286649230537
164,ENSMUSG00000001131,Timp1,1.64983512142445,4.0477230216017075,0.0007551621502928236,0.026281728090565823,1.64983512142445
249,ENSMUSG00000001750,Tcirg1,0.8583002785366722,4.591646045827401,0.0002263693175271322,0.01233553544095291,0.8583002785366722
250,ENSMUSG00000001751,Naglu,1.0178878998666274,4.902981071515144,0.00011458504994899824,0.008424388359791975,1.0178878998666274
318,ENSMUSG00000002111,Spi1,1.170286064424099,6.104782505586675,9.099833623012225e-06,0.004200861826751268,1.170286064424099
344,ENSMUSG00000002325,Irf9,1.3463729354353433,5.10990197266359,7.323233868351349e-05,0.0063897535065682255,1.3463729354353433
386,ENSMUSG00000002668,Dennd1c,1.1031634672176327,4.376269679959803,0.0003640854826309859,0.016600228271379188,1.1031634672176327
389,ENSMUSG00000002699,Lcp2,1.0638791780599735,5.0637429271899705,8.089381607912868e-05,0.006754239950894485,1.0638791780599735
479,ENSMUSG00000003283,Hck,1.0008085203473343,4.7882113905194075,0.00014713623420281046,0.00954492225186982,1.0008085203473343
499,ENSMUSG00000003418,St8sia6,1.2669811912860638,4.434874776919513,0.0003198299578113303,0.015252431366434926,1.2669811912860638
515,ENSMUSG00000003484,Cyp4f18,1.6247454756381356,3.4461540743365604,0.0028812112465220877,0.06636941572438936,1.6247454756381356
551,ENSMUSG00000003812,Dnase2a,0.8496550124788431,5.304921175723805,4.821756821029694e-05,0.005316350063029022,0.8496550124788431
600,ENSMUSG00000004266,Ptpn6,1.7864231628020586,5.834862102055185,1.583302436866439e-05,0.004200861826751268,1.7864231628020586
628,ENSMUSG00000004552,Ctse,2.602825852013033,4.108479448559148,0.0006596589014065729,0.02390078298833466,2.602825852013033
636,ENSMUSG00000004609,Cd33,0.8660371066376373,3.931756503427738,0.000977723140995775,0.031219952143145463,0.8660371066376373
651,ENSMUSG00000004707,Ly9,3.061335501648824,5.762185751823424,1.8408384241776283e-05,0.004200861826751268,3.061335501648824
652,ENSMUSG00000004730,Adgre1,0.9493002453394714,4.565556014085117,0.00023974378990907798,0.012780299616150093,0.9493002453394714
726,ENSMUSG00000005373,Mlxipl,1.6848902483776462,5.273924679718197,5.151497131708372e-05,0.005542571151767941,1.6848902483776462
731,ENSMUSG00000005413,Hmox1,0.8831689463325599,5.105390088290685,7.394734781520805e-05,0.0063897535065682255,0.8831689463325599
827,ENSMUSG00000006219,Fblim1,1.2177180160602956,4.498707719172002,0.00027779004614042095,0.013927427085430839,1.2177180160602956
833,ENSMUSG00000006281,Tep1,0.8635337343555417,5.220585282669711,5.773995045040211e-05,0.005806301471152481,0.8635337343555417
876,ENSMUSG00000006519,Cyba,1.6668509483420049,5.141546895050152,6.841210088477828e-05,0.006320060314722056,1.6668509483420049
933,ENSMUSG00000007041,Clic1,0.8231136645993307,5.097781154127589,7.516935824706558e-05,0.006407552300818706,0.8231136645993307
955,ENSMUSG00000007613,Tgfbr1,0.7849672517264569,4.27639605344966,0.0004542635964581,0.018656558175029526,0.7849672517264569
982,ENSMUSG00000007891,Ctsd,1.7666404808739242,5.713562058070111,2.036880819999273e-05,0.004200861826751268,1.7666404808739242
1074,ENSMUSG00000009585,Apobec3,1.0626263272749255,4.959341260290896,0.00010138941876920478,0.007778331713837471,1.0626263272749255
1117,ENSMUSG00000010142,Tnfrsf13b,0.9431769322617469,4.427523480382256,0.0003250682300432258,0.015309704774728528,0.9431769322617469
1125,ENSMUSG00000010358,Ifi35,0.8369358211449451,4.915782685519274,0.0001114416425249203,0.00829699486224565,0.8369358211449451
1226,ENSMUSG00000013707,Tnfaip8l2,1.189267791138764,5.1811970226868205,6.282705592871553e-05,0.006046844825520785,1.189267791138764
1275,ENSMUSG00000014599,Csf1,1.2452671914539877,3.8117141649100024,0.0012775998013602621,0.03757208082500304,1.2452671914539877
1345,ENSMUSG00000015314,Slamf6,1.223420087481212,5.329910296354224,4.5717090985724024e-05,0.005209465033237595,1.223420087481212
1348,ENSMUSG00000015340,Cybb,2.5268295414983526,5.0094734959405525,9.095767425321388e-05,0.007352010497587945,2.5268295414983526
