gene_id,Gene_Name,3xTG_AD_Cortex_R1,3xTG_AD_Cortex_R3,3xTG_AD_Cortex_R4,WT_Cortex_R10,WT_Cortex_R17,WT_Cortex_R9
ENSMUSG00000000001,Gnai3,1020,1095,1203,1225,1116,1106
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,63,77,59,90,69,97
ENSMUSG00000000031,H19,3,0,3,0,2,1
ENSMUSG00000000037,Scml2,91,78,73,111,72,125
ENSMUSG00000000049,Apoh,100,99,79,155,75,166
ENSMUSG00000000056,Narf,1567,2118,1778,1824,1713,2000
ENSMUSG00000000058,Cav2,1158,1272,1242,1399,1276,1293
ENSMUSG00000000078,Klf6,1415,1542,1527,1511,1245,1352
ENSMUSG00000000085,Scmh1,1611,1766,1665,1989,1822,1747
ENSMUSG00000000088,Cox5a,2350,2499,2814,2927,2561,2609
ENSMUSG00000000093,Tbx2,109,120,117,119,177,93
ENSMUSG00000000094,Tbx4,10,7,3,8,24,15
ENSMUSG00000000103,Zfy2,0,0,0,0,1,0
ENSMUSG00000000120,Ngfr,48,53,32,32,117,40
ENSMUSG00000000125,Wnt3,23,39,38,56,34,62
ENSMUSG00000000126,Wnt9a,495,718,581,701,390,694
ENSMUSG00000000127,Fer,428,333,409,533,331,585
ENSMUSG00000000131,Xpo6,2997,3434,3303,3827,3340,3390
ENSMUSG00000000134,Tfe3,1067,1301,1244,1274,1344,1171
ENSMUSG00000000142,Axin2,941,1057,1045,1124,1157,1119
ENSMUSG00000000148,Brat1,840,916,813,875,974,820
ENSMUSG00000000149,Gna12,2082,2221,2496,2747,2485,2687
ENSMUSG00000000154,Slc22a18,17,14,16,14,18,9
ENSMUSG00000000157,Itgb2l,1,4,4,6,3,8
ENSMUSG00000000159,Igsf5,1729,2084,1908,2884,1700,2152
ENSMUSG00000000167,Pih1d2,155,118,123,147,138,127
ENSMUSG00000000168,Dlat,2376,2475,2282,3016,2352,2658
ENSMUSG00000000171,Sdhd,1678,1759,1719,2002,1866,1761
ENSMUSG00000000182,Fgf23,18,19,23,23,24,10
ENSMUSG00000000183,Fgf6,1,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,1439,1280,1406,1673,1905,2089
ENSMUSG00000000194,Gpr107,1734,1934,1698,1877,2014,1932
ENSMUSG00000000197,Nalcn,3334,2999,2716,3835,3148,3139
ENSMUSG00000000202,Btbd17,388,377,528,486,510,393
ENSMUSG00000000204,Slfn4,1,3,1,0,2,2
ENSMUSG00000000214,Th,22,29,26,44,38,34
ENSMUSG00000000215,Ins2,1,0,0,1,0,0
ENSMUSG00000000216,Scnn1g,20,13,15,8,12,9
ENSMUSG00000000223,Drp2,3387,3853,3681,4106,3083,3813
ENSMUSG00000000244,Tspan32,13,16,9,13,12,10
ENSMUSG00000000247,Lhx2,2479,2497,2273,2355,2731,2184
ENSMUSG00000000248,Clec2g,1,1,4,1,5,1
ENSMUSG00000000253,Gmpr,1048,1152,1112,1343,1123,1190
ENSMUSG00000000263,Glra1,5,2,5,11,9,11
ENSMUSG00000000266,Mid2,734,784,716,1004,735,916
ENSMUSG00000000275,Trim25,229,321,288,311,301,273
ENSMUSG00000000276,Dgke,1852,1814,1589,2174,1658,1861
ENSMUSG00000000278,Scpep1,426,521,467,405,495,429
ENSMUSG00000000282,Mnt,1213,1675,1588,1246,1542,1333
ENSMUSG00000000290,Itgb2,141,186,167,166,212,157
