gene_id,Gene_Name,3xTG_AD_Cortex_R1,3xTG_AD_Cortex_R3,3xTG_AD_Cortex_R4,WT_Cortex_R10,WT_Cortex_R17,WT_Cortex_R9
ENSMUSG00000000001,Gnai3,1116.1533778341022,1086.1002990517607,1238.7654088126508,1136.7564748309399,1114.324590073507,1075.083144062845
ENSMUSG00000000028,Cdc45,68.93888510151808,76.37417628035212,60.754080731460014,83.51680223247722,68.89641282712543,94.28848551003252
ENSMUSG00000000037,Scml2,99.57838959108167,77.36604869957748,75.17030327790816,103.0040560867219,71.89190903700045,121.50578029643366
ENSMUSG00000000049,Apoh,109.42680174844139,98.19536950330988,81.34868436924307,143.83449273371076,74.88740524687546,161.3596762336639
ENSMUSG00000000056,Narf,1714.7179833980767,2100.785783919296,1830.8602633989137,1692.6071919115382,1710.4283358386356,1944.0924847429385
ENSMUSG00000000058,Cav2,1267.1623642469513,1261.661717254648,1278.9248859063277,1298.2222924803957,1274.084387933508,1256.8557913863096
ENSMUSG00000000078,Klf6,1548.3892447404457,1529.467270445493,1572.3979877447364,1402.1543130363675,1243.1309270981328,1314.2065196862263
ENSMUSG00000000085,Scmh1,1762.8657761673908,1751.646692351972,1714.5007528454394,1845.7213293377465,1819.2646981307612,1698.1647854229568
ENSMUSG00000000088,Cox5a,2571.529841088373,2478.689175644155,2897.660731836076,2716.152001494009,2557.155264496641,2536.0686463471634
ENSMUSG00000000093,Tbx2,119.27521390580112,119.02469030704228,120.47843128103088,110.42777184071987,176.7342763826261,90.40030054054664
ENSMUSG00000000094,Tbx4,10.94268017484414,6.943106934577465,3.0891905456674587,7.423715753997975,23.963969679000147,14.580693635572038
ENSMUSG00000000120,Ngfr,52.52486483925187,52.56923821894367,32.95136582045289,29.6948630159919,116.82435218512572,38.88184969485877
ENSMUSG00000000125,Wnt3,25.16816440214152,38.68302434978874,39.129746911787805,51.96601027798582,33.94895704525021,60.26686702703109
ENSMUSG00000000126,Wnt9a,541.6626686547849,712.164397003803,598.2732356775978,650.5030929440725,389.4145072837524,674.6000922057997
ENSMUSG00000000127,Fer,468.34671148332916,330.2935156020423,421.1596443926635,494.60506211011506,330.50308182287705,568.6470517873095
ENSMUSG00000000131,Xpo6,3279.5212484007884,3406.08988761986,3401.1987907798716,3551.320023818781,3334.985780327521,3295.2367616392808
ENSMUSG00000000134,Tfe3,1167.5839746558697,1290.4260174121832,1280.984346270106,1182.2267338241775,1341.9823020240083,1138.2661498169905
ENSMUSG00000000142,Axin2,1029.7062044528336,1048.4091471211973,1076.0680400741646,1043.0320634367154,1155.2630382751322,1087.719745213674
ENSMUSG00000000148,Brat1,919.1851346869078,908.5551360104226,837.1706378758812,811.9689105935284,972.537769472756,797.0779187446047
ENSMUSG00000000149,Gna12,2278.2660124025497,2202.9486430995075,2570.2065339953256,2549.1183970290544,2481.2693605131403,2611.888253252138
ENSMUSG00000000159,Igsf5,1891.9894022305518,2067.062121665634,1964.7251870445036,2676.2495293162697,1697.4478522625104,2091.843513583402
ENSMUSG00000000167,Pih1d2,169.61154271008417,117.04094546859156,126.65681237236579,136.41077697971278,137.79282565425086,123.4498727811766
ENSMUSG00000000168,Dlat,2599.9808095429676,2454.8842375827467,2349.844275071047,2798.7408392572365,2348.4690285420147,2583.6989122233654
ENSMUSG00000000171,Sdhd,1836.1817333388467,1744.7035854173946,1770.1061826674538,1857.7848674379932,1863.1986425422615,1711.7734328161573
ENSMUSG00000000182,Fgf23,19.69682431471945,18.845575965281693,23.683794183450516,21.343182792744177,23.963969679000147,9.720462423714693
ENSMUSG00000000184,Ccnd2,1574.6516771600716,1269.5966966084509,1447.800635736149,1552.4845570548264,1902.1400932706367,2030.6046003139993
ENSMUSG00000000194,Gpr107,1897.4607423179739,1918.2812587818312,1748.4818488477815,1741.7893087817747,2010.9764555627626,1877.9933402616787
ENSMUSG00000000197,Nalcn,3648.289570293036,2974.6253852568316,2796.747174010939,3558.7437395727793,3143.2740228955195,3051.253154804042
ENSMUSG00000000202,Btbd17,424.5759907839526,373.9359020479578,543.6975360374727,450.99073205537695,509.23435567875316,382.0141732519874
ENSMUSG00000000214,Th,24.073896384657107,28.764300157535214,26.772984729117972,40.83043664698886,37.942951991750235,33.049572240629956
ENSMUSG00000000223,Drp2,3706.28577521971,3821.6844312752823,3790.4367995339717,3810.2221107394603,3078.371605014894,3706.4123221624122
ENSMUSG00000000247,Lhx2,2712.6904153438622,2476.7054308057045,2340.5767034340442,2185.356325083154,2726.9000497228917,2122.948993339289
ENSMUSG00000000253,Gmpr,1146.7928823236657,1142.6370269476058,1145.0599622607378,1246.25628220241,1121.314081229882,1156.7350284220483
ENSMUSG00000000266,Mid2,803.1927248335599,777.6279766726761,737.2868102326335,931.6763271267458,733.8965714193796,890.3943580122658
ENSMUSG00000000275,Trim25,250.58737600393079,318.39104657133805,296.562292384076,288.59694993667125,300.5481197241269,265.3686241674111
ENSMUSG00000000276,Dgke,2026.5843683811347,1799.256568474789,1636.241259021864,2017.3947561489497,1655.5109053242602,1808.9780570533042
ENSMUSG00000000278,Scpep1,466.15817544836034,516.7655304164085,480.8839949422344,375.82561004614746,494.25687462937805,417.0078379773603
ENSMUSG00000000282,Mnt,1327.347105208594,1661.386302202465,1635.2115288399748,1156.2437286851846,1539.6850518757597,1295.7376410811685
ENSMUSG00000000290,Itgb2,154.29179046530237,184.48826997591553,171.9649403754885,154.04210189545796,211.6817321645013,152.61126005232066
ENSMUSG00000000295,Hddc2,326.09186921035536,327.31789834436626,287.29472074707365,263.5419092669281,367.44753507800226,241.06746810812436
ENSMUSG00000000296,Tpd52l1,582.1505853017082,550.4891926700705,523.1029323996896,551.2108947343496,702.9431105840043,532.6813408195651
ENSMUSG00000000301,Pemt,86.4471733812687,98.19536950330988,71.05138255035155,75.16512200922949,71.89190903700045,83.59597684394636
ENSMUSG00000000303,Cdh1,52.52486483925187,59.51234515352114,83.40814473302137,39.902472177739114,36.94445325512523,47.630265876201996
ENSMUSG00000000305,Cdh4,843.6806414804831,577.269747989155,537.5191549461377,569.7701841193445,1597.5979786000098,360.6291559198151
ENSMUSG00000000308,Ckmt1,4287.342092503934,3785.9770241831698,4127.1585690117245,4546.09793485451,4429.340395668528,4748.445893984627
ENSMUSG00000000317,Bcl6b,55.80766889170511,244.00061512943665,90.61625600624545,64.95751284748228,62.90542040737539,63.1830057541455
ENSMUSG00000000320,Alox12,22.979628367172694,16.86183112683099,35.0108261842312,26.91096960824266,26.95946588887517,19.440924847429386
ENSMUSG00000000325,,1143.5100782712125,1133.7101751745777,1128.5842793505115,1088.502322429953,1401.8922262215087,1196.5889243592787
ENSMUSG00000000326,Comt,2064.8837489930893,2312.0546092142963,2279.8226227025843,2103.695451789176,2226.652182673764,2179.327675396834
ENSMUSG00000000339,Rtca,1372.212093925455,1442.1824975536622,1343.7978873653444,1281.5189320339005,1246.1264233080078,1378.3615716827433
ENSMUSG00000000340,Dbt,671.8805627354302,749.8555489343663,766.1192553255297,582.761686688841,614.0767230243788,652.2430286312558
ENSMUSG00000000346,Dazap2,3300.3123407329927,3462.6266155157045,3523.736682424681,3015.8845250616773,3083.364098698019,3203.8644148563626
ENSMUSG00000000355,Mcts1,1454.282195236786,1426.3125388460564,1542.535812469951,1426.2813892368608,1402.8907249581337,1433.768207497917
ENSMUSG00000000359,Rem1,32.82804052453242,26.78055531908451,39.129746911787805,25.98300513899291,40.938448201625256,33.049572240629956
ENSMUSG00000000365,Rnf17,30.639504489563592,18.845575965281693,13.386492364558986,47.32618793173709,26.95946588887517,33.049572240629956
ENSMUSG00000000374,Trappc10,3544.334108632017,3420.96797390824,3577.282651882917,3743.408668953479,3350.9617601135205,3605.3195129557794
ENSMUSG00000000378,Ccm2,874.3201459700467,885.7420703682395,823.7841455113222,1315.853617396141,1435.841183266759,1214.085756721965
ENSMUSG00000000384,Tbrg4,1128.1903260264307,1229.9217998394367,1227.4383768118703,1017.9770227669723,1204.1894763697574,1032.3131093985003
ENSMUSG00000000392,Fap,134.5949661505829,237.0575081948592,202.85684583216312,262.61394479767836,62.90542040737539,312.0268438012416
ENSMUSG00000000399,Ndufa9,2395.352690273382,2330.900185179578,2501.214611808752,2284.6485232928767,2251.614651089389,2452.472669503217
ENSMUSG00000000402,Egfl6,70.03315311900249,41.658641607464794,85.46760509679969,74.23715753997975,136.79432691762585,78.735745632089
ENSMUSG00000000409,Lck,72.22168915397133,48.60174854204226,55.60542982201425,44.54229452398785,122.81534460487576,34.993664725372895
ENSMUSG00000000416,Cttnbp2,5482.282767596914,4678.662201485987,5323.70504036692,6668.35267602868,5266.082336960282,6576.864875885361
ENSMUSG00000000420,Galnt1,1438.9624429920043,1630.638257206479,1552.8331142888426,1517.221907223336,1327.0048209746333,1545.5535253706362
ENSMUSG00000000439,Mkrn2,851.340517602874,796.4735526379578,818.6354946018765,806.40112377803,809.78247540288,820.4070285615201
ENSMUSG00000000440,Pparg,179.45995486744388,207.30133561809862,185.3514327400475,189.30475172694835,81.87689640325051,212.87812707935177
ENSMUSG00000000441,Raf1,3403.173534376527,3820.692558856057,3584.490763156141,3976.327750735165,3363.9422436896457,3899.8495243943344
ENSMUSG00000000489,Pdgfb,864.471733812687,1071.2222127633804,814.5165738743199,856.5112051175163,1488.7616163078842,1042.033571822215
ENSMUSG00000000530,Acvrl1,470.535247518298,682.4082244270423,524.1326625815788,450.0627675861272,515.2253480985032,369.3775721011583
ENSMUSG00000000531,Tamalin,1393.0031862576589,1599.8902122104932,1230.5275673575377,1004.9855201974758,1903.1385920072619,1127.5736411509042
ENSMUSG00000000532,Acvr1b,4128.673229968694,4726.272077608804,4410.334369031241,4289.05177687233,3699.437819195648,4157.441778622774
ENSMUSG00000000538,Tom1l2,11197.644622918007,12032.404317622748,11424.856368060151,9659.182160420614,9304.011227871808,9787.533614438324
ENSMUSG00000000552,Zfp385a,1546.200708705477,2116.655742626902,1840.1278350359162,1977.4922839712106,1872.1851311718865,2006.3034442547125
ENSMUSG00000000555,Itga5,115.99240985334788,179.52890787978876,155.48925746526209,206.0081121734438,111.8318585020007,176.9124161116074
ENSMUSG00000000560,Gabra2,2959.99498729534,1790.3297167017608,2029.5981885035203,2090.7039492196795,2799.7904574965173,1670.9474906365556
ENSMUSG00000000561,Wdr77,2028.7729044161035,2138.4769358498593,2061.519824142084,2231.7545485456412,2147.7707824803883,2100.591929764745
ENSMUSG00000000562,Adora3,35.016576559501246,34.71553467288733,45.308128003122725,31.55079195449139,42.93544567487527,28.189341028772606
ENSMUSG00000000563,Atp5pb,5416.626686547849,4912.74409242317,5087.896828714304,5264.342434053814,4603.079175841279,5437.6266798259985
ENSMUSG00000000567,Sox9,724.405427574682,692.3269486192959,589.0056640405954,716.3885702608045,912.6278452752557,653.2150748736274
ENSMUSG00000000568,Hnrnpd,3316.726360995259,3102.576927336902,3190.1041034925956,3530.904805495287,3520.7065453397718,3424.518911874686
ENSMUSG00000000579,Dynlt1c,2068.1665530455425,1748.671075094296,1988.4089812279542,954.8754388579895,1476.7796314683842,959.4096412206401
ENSMUSG00000000581,C1d,1001.2552359982387,842.0996839223241,905.1328298805653,930.748362657496,1008.4837239912563,859.2888782563788
ENSMUSG00000000594,Gm2a,1395.191722292628,1328.1171693427466,1430.2952226440332,1210.06566790167,1480.7736264148841,1269.4923925371388
ENSMUSG00000000600,Krit1,2150.2366543568733,2094.834549403944,2218.0388117892353,2421.987264741839,2112.823326698513,2580.7827734962507
ENSMUSG00000000605,Clcn4,5025.9730043059135,5035.736272407114,5286.63475381891,4670.445173733976,4463.289352713778,4882.58827543189
ENSMUSG00000000627,Sema4f,1823.0505171290336,1813.142782343944,1676.400736115541,1763.132491574519,1649.5199129045102,1788.5650859635034
ENSMUSG00000000628,Hk2,149.9147183953647,156.71584223760564,143.13249528259223,96.50830480197367,150.77330923037593,92.34439302528958
ENSMUSG00000000631,Myo18a,6557.948228784093,7313.075346948523,6912.578711021883,6788.988057031148,6257.591582428914,6922.913338169604
